Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0941114317421856,0.12499996216618,0.0936537243105501,0,0,0,10.8186111971892,0.0424810478346352,1.75690865925084E-07,0.000155619703380291,0.230346722117826,-3.1840512594254E-08,0.264657309040771,0,0,0,0,0,0,package://robo_des/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/base_link.STL,,base-1;cover-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
frw,-0.0207301827068018,-4.16333634234434E-17,2.19369939886568E-16,0,0,0,0.411963029786123,0.000782944022280858,3.22567695491717E-20,4.80202519177703E-22,0.00044224300953557,4.9023375990838E-20,0.00044224300953557,0,0,0,0,0,0,package://robo_des/meshes/frw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/frw.STL,,wheel2-2,Origin_frwj,Axis_frwj,frwj,continuous,0,0.005,0.06,1.5708,0,-1.5708,base_link,1,0,0,1,10,,,,,,,,,,
flw,0.0192698172931982,-6.93889390390723E-18,1.2490009027033E-16,0,0,0,0.411963029786123,0.000782944022280859,2.682965940328E-21,9.57146513047092E-21,0.00044224300953557,-1.35525271560688E-20,0.00044224300953557,0,0,0,0,0,0,package://robo_des/meshes/flw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/flw.STL,,wheel2-4,Origin_flwj,Axis_flwj,flwj,continuous,0,0.205,0.06,-1.9639,0,1.5708,base_link,1,0,0,1,10,,,,,,,,,,
brw,-0.0207301827068018,-2.77555756156289E-17,8.32667268468867E-17,0,0,0,0.411963029786123,0.000782944022280858,-1.17964095048409E-20,-3.14969667795639E-21,0.00044224300953557,-5.42101086242752E-20,0.00044224300953557,0,0,0,0,0,0,package://robo_des/meshes/brw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/brw.STL,,wheel2-3,Origin_brwj,Axis_brwj,brwj,continuous,-0.18651,0.005,0.06,1.9639,0,-1.5708,base_link,1,0,0,1,10,,,,,,,,,,
blw,0.0192698172931982,-3.46944695195361E-17,5.55111512312578E-17,0,0,0,0.411963029786123,0.000782944022280859,-1.47511735909001E-20,2.81838457418552E-21,0.000442243009535571,0,0.000442243009535571,0,0,0,0,0,0,package://robo_des/meshes/blw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/blw.STL,,wheel2-1,Origin_blwj,Axis_blwj,blwj,continuous,-0.18651,0.205,0.06,2.1066,0,1.5708,base_link,1,0,0,1,10,,,,,,,,,,
arm1,-8.32667268468867E-17,0.0125651013239148,1.83880688453542E-16,0,0,0,0.260678745840163,0.000367567244144259,-7.91105866069516E-21,1.70193991381726E-06,0.000668095783252644,-6.13008665353642E-21,0.000388501341808732,0,0,0,0,0,0,package://robo_des/meshes/arm1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/arm1.STL,,armbase1-1,Origin_arm1j,Axis_arm1j,arm1j,revolute,0,0.125,0.158,1.5708,0,1.3762,base_link,0,1,0,0,0,0,0,,,,,,,,
arm2,0.0868289642143716,0.00757022498922039,0.0641432852254428,0,0,0,0.604646346232966,0.00180448221745263,-0.000255586152172797,-0.00204177114381514,0.00472836930815643,-0.000179741625453843,0.00305897976381428,0,0,0,0,0,0,package://robo_des/meshes/arm2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/arm2.STL,,Part1arm1-1,Origin_arm2j,Axis_arm2j,arm2j,revolute,0,0.054,0,0,-1.4537,-1.5708,arm1,0,1,0,0,0,0,0,,,,,,,,
arm3,0.00925514369763676,-0.0287655715452404,-0.0386970474727479,0,0,0,0.552909154525419,0.0055244104411537,-0.000176837948922624,0.000109764492707216,0.00150189712133316,0.00228028388294832,0.00412253659922397,0,0,0,0,0,0,package://robo_des/meshes/arm3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/arm3.STL,,Part1arm2-1,Origin_arm3j,Axis_arm3j,arm3j,revolute,0.25,-0.016122,0,-1.6655,0,1.5708,arm2,1,0,0,0,0,0,0,,,,,,,,
arm4,-0.177958843756028,0.0176755083711491,-0.0398459877299372,0,0,0,0.0848386700528806,0.00010678874977503,4.8995620620725E-06,-7.06039245576564E-07,4.34991020110427E-05,-6.55613773533483E-07,6.67432131662634E-05,0,0,0,0,0,0,package://robo_des/meshes/arm4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/arm4.STL,,arm4-1;arm1new-1;arm4-2,Origin_arm4j,Axis_arm4j,arm4j,revolute,0,0,-0.3,0,1.2279,-1.5708,arm3,0,1,0,0,0,0,0,,,,,,,,
grip1,-0.030239730924035,-0.181087131334586,-0.0191324261700389,0,0,0,0.00161718259427537,3.77628834062901E-07,2.85126710537669E-08,-1.68676948564536E-09,1.48807158687113E-08,2.10254286858737E-08,3.7690839215755E-07,0,0,0,0,0,0,package://robo_des/meshes/grip1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robo_des/meshes/grip1.STL,,arm3new-1,Origin_grip1j,Axis_grip1j,grip1j,prismatic,0.032,-0.010878,0,0,0,-1.5708,arm4,0,0,1,0,0,0,0,,,,,,,,
